contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
1 - 7,0.01245691380704511,0.004310946599932687,90,2.8896005826747233,0.10509542869651456,family,metabolism_per_area_mm2_measurement
1 - 8,0.0014207770742770786,0.004310946599932687,90,0.3295742689782479,0.9999955643390013,family,metabolism_per_area_mm2_measurement
1 - 9,-0.010655995956388912,0.004310946599932685,90,-2.471845964539506,0.2597542975242023,family,metabolism_per_area_mm2_measurement
1 - 9b,-0.004971942577772026,0.004310946599932687,90,-1.153329660323248,0.9639072628039039,family,metabolism_per_area_mm2_measurement
10 - 3,0.00460163400620682,0.004310946599932687,90,1.0674300642644639,0.9773880354096458,family,metabolism_per_area_mm2_measurement
10 - 5,-0.006942591520123404,0.004310946599932686,90,-1.6104563949439341,0.7966492135905024,family,metabolism_per_area_mm2_measurement
10 - 6,-0.006364431881732063,0.004310946599932688,90,-1.4763420826951181,0.8634649115575834,family,metabolism_per_area_mm2_measurement
10 - 7,0.009624912109713054,0.004310946599932688,90,2.2326679040430095,0.3941371156221094,family,metabolism_per_area_mm2_measurement
10 - 8,-0.0014112246230549765,0.004310946599932687,90,-0.32735840965346497,0.9999957920026455,family,metabolism_per_area_mm2_measurement
10 - 9,-0.013487997653720968,0.004310946599932687,90,-3.1287786431712177,0.05718217533537262,family,metabolism_per_area_mm2_measurement
10 - 9b,-0.007803944275104082,0.004310946599932688,90,-1.8102623389549604,0.6753401699438322,family,metabolism_per_area_mm2_measurement
3 - 5,-0.011544225526330224,0.0043109465999326855,90,-2.6778864592083984,0.17072975417585734,family,metabolism_per_area_mm2_measurement
3 - 6,-0.010966065887938883,0.004310946599932686,90,-2.543772146959583,0.22573982549735772,family,metabolism_per_area_mm2_measurement
3 - 7,0.005023278103506235,0.004310946599932686,90,1.1652378397785468,0.9616582014245392,family,metabolism_per_area_mm2_measurement
3 - 8,-0.006012858629261797,0.004310946599932686,90,-1.394788473917929,0.8969770017494867,family,metabolism_per_area_mm2_measurement
3 - 9,-0.018089631659927788,0.0043109465999326855,90,-4.196208707435683,0.001997532377097988,family,metabolism_per_area_mm2_measurement
3 - 9b,-0.012405578281310902,0.004310946599932686,90,-2.877692403219425,0.1081521910316593,family,metabolism_per_area_mm2_measurement
5 - 6,5.781596383913424e-4,0.004310946599932685,90,0.13411431224881568,0.9999999963871005,family,metabolism_per_area_mm2_measurement
5 - 7,0.016567503629836458,0.004310946599932685,90,3.8431242989869463,0.006700781305871928,family,metabolism_per_area_mm2_measurement
5 - 8,0.005531366897068428,0.004310946599932685,90,1.2830979852904696,0.9337513642041728,family,metabolism_per_area_mm2_measurement
5 - 9,-0.006545406133597563,0.004310946599932685,90,-1.5183222482272847,0.844058840245943,family,metabolism_per_area_mm2_measurement
5 - 9b,-8.613527549806771e-4,0.004310946599932685,90,-0.19980594401102697,0.9999999140010905,family,metabolism_per_area_mm2_measurement
6 - 7,0.015989343991445117,0.004310946599932689,90,3.709009986738127,0.010359973741113415,family,metabolism_per_area_mm2_measurement
6 - 8,0.004953207258677086,0.004310946599932688,90,1.1489836730416532,0.9647037645820313,family,metabolism_per_area_mm2_measurement
6 - 9,-0.007123565771988905,0.004310946599932687,90,-1.6524365604760993,0.7730350070756582,family,metabolism_per_area_mm2_measurement
6 - 9b,-0.0014395123933720194,0.004310946599932688,90,-0.3339202562598424,0.9999950866922713,family,metabolism_per_area_mm2_measurement
7 - 8,-0.01103613673276803,0.004310946599932687,90,-2.560026313696475,0.21848998771109096,family,metabolism_per_area_mm2_measurement
7 - 9,-0.023112909763434022,0.004310946599932686,90,-5.361446547214229,2.185382441999284e-5,family,metabolism_per_area_mm2_measurement
7 - 9b,-0.017428856384817136,0.004310946599932687,90,-4.042930242997971,0.003414589865344375,family,metabolism_per_area_mm2_measurement
8 - 9,-0.012076773030665991,0.004310946599932686,90,-2.8014202335177534,0.12945593003246525,family,metabolism_per_area_mm2_measurement
8 - 9b,-0.0063927196520491055,0.004310946599932687,90,-1.4829039293014958,0.8605264475628879,family,metabolism_per_area_mm2_measurement
9 - 9b,0.005684053378616886,0.004310946599932686,90,1.3185163042162573,0.9232208409091001,family,metabolism_per_area_mm2_measurement
