contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
10 - 9,1.0966965161012157,0.4262218118270762,90,2.573065210811313,0.21279104805745874,family,metabolism_per_area_mm2_measurement
10 - 9b,1.2011979578492156,0.42622181182707664,90,2.818246097495724,0.12449326445846931,family,metabolism_per_area_mm2_measurement
3 - 5,0.808063226678745,0.42622181182707664,90,1.8958748807688566,0.6183146794517664,family,metabolism_per_area_mm2_measurement
3 - 6,0.07421898855446263,0.42622181182707675,90,0.17413230973870045,0.9999999711365617,family,metabolism_per_area_mm2_measurement
3 - 7,0.561456894442017,0.4262218118270768,90,1.3172880384399628,0.9236033910493299,family,metabolism_per_area_mm2_measurement
3 - 8,-0.16935664655264446,0.42622181182707664,90,-0.3973439224676622,0.999981036912674,family,metabolism_per_area_mm2_measurement
3 - 9,1.165792174159689,0.4262218118270765,90,2.735177181952071,0.15050636077679402,family,metabolism_per_area_mm2_measurement
3 - 9b,1.270293615907689,0.42622181182707697,90,2.9803580686364817,0.08402968952527179,family,metabolism_per_area_mm2_measurement
5 - 6,-0.7338442381242823,0.42622181182707664,90,-1.7217425710301562,0.7316694261372545,family,metabolism_per_area_mm2_measurement
5 - 7,-0.246606332236728,0.42622181182707664,90,-0.5785868423288932,0.9996712519067142,family,metabolism_per_area_mm2_measurement
5 - 8,-0.9774198732313895,0.4262218118270765,90,-2.2932188032365195,0.35729179712619863,family,metabolism_per_area_mm2_measurement
5 - 9,0.35772894748094397,0.42622181182707625,90,0.8393023011832141,0.995286861136222,family,metabolism_per_area_mm2_measurement
5 - 9b,0.4622303892289439,0.4262218118270767,90,1.0844831878676269,0.9750738550926306,family,metabolism_per_area_mm2_measurement
6 - 7,0.48723790588755433,0.4262218118270768,90,1.1431557287012624,0.9657517354501309,family,metabolism_per_area_mm2_measurement
6 - 8,-0.24357563510710709,0.4262218118270767,90,-0.5714762322063627,0.9997001121652147,family,metabolism_per_area_mm2_measurement
6 - 9,1.0915731856052262,0.42622181182707647,90,2.5610448722133703,0.21804106060940032,family,metabolism_per_area_mm2_measurement
6 - 9b,1.1960746273532261,0.4262218118270768,90,2.806225758897782,0.12802302781387265,family,metabolism_per_area_mm2_measurement
7 - 8,-0.7308135409946614,0.4262218118270767,90,-1.7146319609076255,0.7360371048260732,family,metabolism_per_area_mm2_measurement
7 - 9,0.604335279717672,0.4262218118270767,90,1.4178891435121064,0.8880547600748918,family,metabolism_per_area_mm2_measurement
7 - 9b,0.7088367214656719,0.42622181182707686,90,1.6630700301965193,0.7668720925742292,family,metabolism_per_area_mm2_measurement
8 - 9,1.3351488207123334,0.4262218118270765,90,3.132521104419733,0.056613067232390124,family,metabolism_per_area_mm2_measurement
8 - 9b,1.4396502624603333,0.4262218118270768,90,3.3777019911041446,0.02852803757442779,family,metabolism_per_area_mm2_measurement
9 - 9b,0.10450144174799991,0.4262218118270767,90,0.2451808866844135,0.999999565716312,family,metabolism_per_area_mm2_measurement
