experiment,value_metric,family_id_group,trajectory_class,n,prop
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,9b,monotonic_increase,9,0.8181818181818182
01.00-resazurin-20260604-mgig-36C,metabolism_per_area_mm2_measurement,9b,rise_then_depress,2,0.18181818181818182
01.00-resazurin-20260624-mgig-33C,corrected_fc,1,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,1,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,10,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,corrected_fc,2,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,corrected_fc,3,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,3,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,5,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,5,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,6,depress_then_recover,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,corrected_fc,6,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,corrected_fc,7,monotonic_increase,15,0.8333333333333334
01.00-resazurin-20260624-mgig-33C,corrected_fc,7,rise_then_depress,3,0.16666666666666666
01.00-resazurin-20260624-mgig-33C,corrected_fc,8,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,corrected_fc,9,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,1,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,1,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,10,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,2,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,3,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,3,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,5,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,5,rise_then_depress,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,6,depress_then_recover,1,0.05555555555555555
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,6,monotonic_increase,17,0.9444444444444444
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,7,monotonic_increase,15,0.8333333333333334
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,7,rise_then_depress,3,0.16666666666666666
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,8,monotonic_increase,18,1
01.00-resazurin-20260624-mgig-33C,metabolism_per_area_mm2_measurement,9,monotonic_increase,18,1
